date,description,voucher_type,amount,closing
12/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13243462519*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,800.00,2687382.72
13/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13350517866*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,1500.00,2688882.72
13/05/2026,TO TRANSFER-UPI/DR/613374836457/Universa/UTIB/gpay-12196/UPI- TRANSFER TO 4897692162094 /,Payment,146.00,2688736.72
13/05/2026,TO TRANSFER-UPI/DR/613376639885/ENTERPRI/HDFC/enterprise/UPI- TRANSFER TO 4897692162094 /,Payment,180.00,2688556.72
13/05/2026,TO TRANSFER-UPI/DR/613378071656/GuptaRa/UTIB/gpay-12200/UPI- TRANSFER TO 4897692162094 /,Payment,170.00,2688386.72
13/05/2026,TO TRANSFER-UPI/DR/613302941365/GuptaRa/UTIB/gpay-12200/UPI- TRANSFER TO 4897692162094 /,Payment,170.00,2688216.72
13/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13351632376*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,500.00,2688716.72
14/05/2026,TO TRANSFER-UPI/DR/613438014997/GoogleI/UTIB/gpayrechar/UPI- TRANSFER TO 4897693162093 /,Payment,200.90,2688515.82
14/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13459288187*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,4200.00,2692715.82
14/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13459379184*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,900.00,2693615.82
14/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13459741245*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,300.00,2693915.82
14/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13459793861*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,800.00,2694715.82
14/05/2026,TO TRANSFER-UPI/DR/613462309153/GuptaRa/UTIB/gpay-12200/UPI- TRANSFER TO 4897693162093 /,Payment,200.00,2694515.82
14/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13459995538*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,1000.00,2695515.82
14/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13460093057*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,1250.00,2696765.82
14/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13460062491*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,1000.00,2697765.82
14/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13460264828*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,1500.00,2699265.82
14/05/2026,TO TRANSFER-UPI/DR/613477448911/DEVTECH/BARB/devte98979/UPI- TRANSFER TO 4897693162093 /,Payment,39000.00,2660265.82
14/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13460360777*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,520.00,2660785.82
15/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13568218723*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,550.00,2661335.82
15/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13568352961*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,250.00,2661585.82
15/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13568394339*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,2200.00,2663785.82
15/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG13568445526*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,500.00,2664285.82
