date,description,voucher_type,amount,closing
23/10/2025,NEFT CR-YESAP52963455363-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,50.00,-363213.92
24/10/2025,NEFT CR-YESAP52973401170-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,180.00,-363033.92
25/10/2025,NEFT CR-YESAP52983291173-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,219.00,-362814.92
26/10/2025,NEFT CR-YESAP52993369038-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,790.00,-362024.92
27/10/2025,NEFT CR-YESAP53003248474-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,525.00,-361499.92
28/10/2025,NEFT CR-YESAP53013180092-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,225.00,-361274.92
29/10/2025,NEFT CR-YESAP53023377663-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,235.00,-361039.92
30/10/2025,NEFT CR-YESAP53033636679-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,595.00,-360444.92
31/10/2025,NEFT CR-YESAP53043461850-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,508.00,-359936.92
31/10/2025,STOCK INSURANCE,Payment,4600.00,-364536.92
31/10/2025,CASA DEBIT INTEREST CAPITALIZED,Payment,3201.00,-367737.92
01/11/2025,NEFT CR-YESAP53054263688-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,307.00,-367430.92
02/11/2025,NEFT CR-YESAP53063366923-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,40.00,-367390.92
03/11/2025,NEFT CR-YESAP53074224969-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,430.00,-366960.92
04/11/2025,NEFT CR-YESAP53084306558-YESB0000001-PHONEPE LIMITED--F09 M1BBWVRZV67QREDEMPTION,Receipt,253.00,-366707.92
