date,description,voucher_type,amount,closing
27/05/2026,NEFT_IN:36SCBLH1 4700791082SCBL003 6001//SCBLH147007 91082/EURONET SERVICES INDIA P,Receipt,23287.50,
29/05/2026,NEFT_IN:23CITIN266 76677496CITI010000 0//CITIN26676677496 /INDIAIDEAS.COM LTD BBPS,Receipt,5589.00,
29/05/2026,NEFT_IN:23CITIN266 76679753CITI010000 0//CITIN26676679753 /INDIAIDEAS.COM LTD BBPS,Receipt,4657.50,
29/05/2026,NEFT_IN:23CITIN266 76668531CITI010000 0//CITIN26676668531 /INDIAIDEAS.COM LIMITED-,Receipt,5589.00,
29/05/2026,NEFT_IN:23CITIN266 76671922CITI010000 0//CITIN26676671922 /INDIAIDEAS.COM LIMITED-,Receipt,1863.00,
29/05/2026,NEFT_IN:29SCBLH1 4901439002SCBL003 6001//SCBLH149014 39002/EURONET SERVICES INDIA P,Receipt,17698.50,
29/05/2026,NEFT_IN:43YESIG61 490191520YESB0000 001//YESIG61490191 520/EURONET SERVICES IND,Receipt,1863.00,
30/05/2026,NEFT_IN:14YESIG61 500010857YESB0000 001//YESIG61500010 857/EURONET SERVICES IND,Receipt,1863.00,
30/05/2026,NEFT_IN:22CITIN266 77464569CITI010000 0//CITIN26677464569 /INDIAIDEAS.COM LTD BBPS,Receipt,4657.50,
30/05/2026,NEFT_CHRG:PUNBK 26150318573/UCBA0 002317/23170210001 387,Payment,5.61,
30/05/2026,NEFT_OUT:PUNBK2 6150318573/SHRI SURAJ NATH INTERNATIONA/UCB A0002317/231702100 0138,Payment,73000.00,
30/05/2026,NEFT_IN:30MAHBH0 0053946641MAHB00 01781//MAHBH00053 946641/GROUP,Receipt,21210.00,
30/05/2026,NEFT_IN:32SCBLH1 5000758556SCBL003 6001//SCBLH150007 58556/EURONET SERVICES INDIA P,Receipt,8383.50,
30/05/2026,NEFT_IN:32SCBLH1 5000757772SCBL003 6001//SCBLH150007 57772/EURONET SERVICES INDIA P,Receipt,14904.00,
30/05/2026,NEFT_IN:44YESIG61 500257566YESB0000 001//YESIG61500257 566/EURONET SERVICES IND,Receipt,3726.00,
